Conversion Log - 2025-10-12T12:29:14.997119

[✓] AllPublic.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\AllPublic.py
[✓] BugHelp.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\BugHelp.py
[✓] cAccount.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cAccount.py
[✓] cActionObject.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cActionObject.py
[✓] cAllNameRules.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cAllNameRules.py
[✓] cAttrDsc.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cAttrDsc.py
[✓] cBugTimer.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cBugTimer.py
[✓] cCallEnv.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cCallEnv.py
[✓] cDelObjectsEntry.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cDelObjectsEntry.py
[✓] cErr.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cErr.py
[✓] cFilterCriterium.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cFilterCriterium.py
[✓] cFindWindowParms.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cFindWindowParms.py
[✓] cInfo.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cInfo.py
[✓] cItemClsProps.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cItemClsProps.py
[✓] cItemList.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cItemList.py
[✓] cIterationSwitches.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cIterationSwitches.py
[✓] cItmDsc.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cItmDsc.py
[✓] cKnownFolderItem.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cKnownFolderItem.py
[✓] cKnownFolders.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cKnownFolders.py
[✓] cListItm.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cListItm.py
[✓] cMPEObject.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cMPEObject.py
[✓] cNameRule.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cNameRule.py
[✓] cNumbItem.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cNumbItem.py
[✓] cObjDsc.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cObjDsc.py
[✓] cOlExplorer.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cOlExplorer.py
[✓] CompareOps.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\CompareOps.py
[✓] cOutlookSession without Attributes and Event hooks.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cOutlookSession without Attributes and Event hooks.py
[✓] cOutlookSession.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cOutlookSession.py
[✓] cPair.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cPair.py
[✓] cProcItem.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cProcItem.py
[✓] cRuleCat.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cRuleCat.py
[✓] cRuleFilter.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cRuleFilter.py
[✓] cTermination.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cTermination.py
[✓] cTraceEntry.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cTraceEntry.py
[✓] cTriState.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cTriState.py
[✓] cXLTab.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\cXLTab.py
[✓] DupeDeleter.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\DupeDeleter.py
[✓] ErrEx.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\ErrEx.py
[✓] ErrExCallstack.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\ErrExCallstack.py
[✓] ErrExDialogOptions.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\ErrExDialogOptions.py
[✓] ErrExVariables.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\ErrExVariables.py
[✓] ErrEx_Helper.cls → D:\GitHubPrivate\OutlookVBAConversion\scripts\ErrEx_Helper.py
[✓] EventRoutines.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\EventRoutines.py
[✓] File_FolderOps.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\File_FolderOps.py
[✓] frmCompareInfo.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmCompareInfo.py
[✓] frmDelConfirm.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmDelConfirm.py
[✓] frmDelParms.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmDelParms.py
[✓] frmDeltaList.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmDeltaList.py
[✓] frmErrStatus.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmErrStatus.py
[✓] frmFolderLoop.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmFolderLoop.py
[✓] frmLongText.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmLongText.py
[✓] frmMacroSelRun.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmMacroSelRun.py
[✓] frmMaintenance.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmMaintenance.py
[✓] frmMessage.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmMessage.py
[✓] frmNoteMgr.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmNoteMgr.py
[✓] frmProgressBox.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmProgressBox.py
[✓] frmSelParms.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmSelParms.py
[✓] frmStrEdit.frm → D:\GitHubPrivate\OutlookVBAConversion\scripts\forms\frmStrEdit.py
[✓] HelpersOL.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\HelpersOL.py
[✓] ItemOpsOL.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\ItemOpsOL.py
[✓] LoopFolders.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\LoopFolders.py
[✓] MailProcessing.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\MailProcessing.py
[✓] NoteMgr.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\NoteMgr.py
[✓] O_Goodies.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\O_Goodies.py
[✓] PxMappings.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\PxMappings.py
[✓] QueryMatches.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\QueryMatches.py
[✓] RuleSetup.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\RuleSetup.py
[✓] SystemIFs.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\SystemIFs.py
[✓] UseRules.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\UseRules.py
[✓] WindowControl.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\WindowControl.py
[✓] XLAccessingOL.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\XLAccessingOL.py
[✓] Y_ErrIf.bas → D:\GitHubPrivate\OutlookVBAConversion\scripts\Y_ErrIf.py
